
---------- Begin Simulation Statistics ----------
simSeconds                                   0.255005                       # Number of seconds simulated (Second)
simTicks                                 255005236672                       # Number of ticks simulated (Tick)
finalTick                                255005236672                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3295.35                       # Real time elapsed on the host (Second)
hostTickRate                                 77383426                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2294808                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000000                       # Number of instructions simulated (Count)
simOps                                     1132163591                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   303458                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     343564                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        458642513                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1235104980                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1926                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1194897460                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   4924                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            102943268                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         281018747                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  74                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           458573111                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.605686                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.952547                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  62911414     13.72%     13.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  95103823     20.74%     34.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  88955346     19.40%     53.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  71282419     15.54%     69.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  58284423     12.71%     82.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  45080329      9.83%     91.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  18419531      4.02%     95.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   9307443      2.03%     97.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   9228383      2.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             458573111                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2975534     16.79%     16.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     16.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     16.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     16.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     16.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     16.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     16.79% # attempts to use FU when none available (Count)
