
---------- Begin Simulation Statistics ----------
simSeconds                                   0.063164                       # Number of seconds simulated (Second)
simTicks                                  63163886000                       # Number of ticks simulated (Tick)
finalTick                                 63163886000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3119.19                       # Real time elapsed on the host (Second)
hostTickRate                                 20250099                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2294812                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000000                       # Number of instructions simulated (Count)
simOps                                     1132163591                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   320596                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     362967                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        505311089                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1235120989                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1944                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1194938915                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5052                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            102959295                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         281070603                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  92                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           504917460                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.366602                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.007603                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 109090107     21.61%     21.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  95244603     18.86%     40.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  89107540     17.65%     58.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  71420933     14.15%     72.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  58060533     11.50%     83.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  44994898      8.91%     92.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  18316920      3.63%     96.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   9357117      1.85%     98.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   9324809      1.85%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             504917460                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2873162     16.32%     16.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     16.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     16.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     16.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     16.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     16.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     16.32% # attempts to use FU when none available (Count)
