
---------- Begin Simulation Statistics ----------
simSeconds                                   1.144649                       # Number of seconds simulated (Second)
simTicks                                 1144649474256                       # Number of ticks simulated (Tick)
finalTick                                1144649474256                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   5093.48                       # Real time elapsed on the host (Second)
hostTickRate                                224728540                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2287740                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000000                       # Number of instructions simulated (Count)
simOps                                     1084388561                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   196330                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     212898                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       2058722077                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1414912625                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  3801057                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1395214406                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                9679805                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            334325055                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         777356114                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               11617                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          2058687593                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.677720                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.513933                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1580240313     76.76%     76.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 141520883      6.87%     83.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  96834100      4.70%     88.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  76004150      3.69%     92.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  70056372      3.40%     95.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  44158107      2.14%     97.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  27143221      1.32%     98.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  13706052      0.67%     99.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   9024395      0.44%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            2058687593                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1084665      2.46%      2.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      2.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      2.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      2.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      2.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      2.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      2.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      2.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      2.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      2.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      2.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      2.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%      2.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%      2.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%      2.46% # attempts to use FU when none available (Count)
