
---------- Begin Simulation Statistics ----------
simSeconds                                   0.909323                       # Number of seconds simulated (Second)
simTicks                                 909322670125                       # Number of ticks simulated (Tick)
finalTick                                909322670125                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   7449.03                       # Real time elapsed on the host (Second)
hostTickRate                                122072595                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2287740                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000000                       # Number of instructions simulated (Count)
simOps                                     1084388561                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   134246                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     145574                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       7274581362                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1427982095                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  3804345                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1438536053                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               11869268                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            347397813                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         812885968                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               14905                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          7274402899                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.197753                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.868583                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                6766216937     93.01%     93.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 167902155      2.31%     95.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  98134191      1.35%     96.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  72511315      1.00%     97.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  72117560      0.99%     98.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  47434922      0.65%     99.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  28382397      0.39%     99.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  12735037      0.18%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   8968385      0.12%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            7274402899                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1143427      2.23%      2.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      2.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      2.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      2.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      2.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      2.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      2.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      2.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      2.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      2.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      2.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      2.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%      2.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%      2.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%      2.23% # attempts to use FU when none available (Count)
