
---------- Begin Simulation Statistics ----------
simSeconds                                   0.231533                       # Number of seconds simulated (Second)
simTicks                                 231532788000                       # Number of ticks simulated (Tick)
finalTick                                231532788000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4035.79                       # Real time elapsed on the host (Second)
hostTickRate                                 57369888                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2294812                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000000                       # Number of instructions simulated (Count)
simOps                                     1132163591                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   247783                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     280531                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        463065577                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1235107392                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1929                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1194910546                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5004                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            102945683                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         281026247                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  77                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           462988630                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.580864                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.956116                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  66080055     14.27%     14.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  95860603     20.70%     34.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  89880362     19.41%     54.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  72057386     15.56%     69.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  58342657     12.60%     82.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  42622100      9.21%     91.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  19574561      4.23%     95.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   9378681      2.03%     98.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   9192225      1.99%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             462988630                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2977582     16.79%     16.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     16.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     16.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     16.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     16.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     16.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     16.79% # attempts to use FU when none available (Count)
