
---------- Begin Simulation Statistics ----------
simSeconds                                   0.230322                       # Number of seconds simulated (Second)
simTicks                                 230321557000                       # Number of ticks simulated (Tick)
finalTick                                230321557000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3483.80                       # Real time elapsed on the host (Second)
hostTickRate                                 66112207                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2294808                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000000                       # Number of instructions simulated (Count)
simOps                                     1132163591                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   287043                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     324980                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        460643115                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1235070666                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1932                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1194902261                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   4963                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            102908960                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         280899059                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  80                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           460565840                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.594422                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.956146                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  64954478     14.10%     14.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  95057242     20.64%     34.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  88948399     19.31%     54.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  71289218     15.48%     69.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  58264414     12.65%     82.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  45087080      9.79%     91.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  18403323      4.00%     95.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   9325915      2.02%     97.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   9235771      2.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             460565840                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2975603     16.80%     16.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     16.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     16.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     16.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     16.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     16.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     16.80% # attempts to use FU when none available (Count)
