
---------- Begin Simulation Statistics ----------
simSeconds                                   0.041145                       # Number of seconds simulated (Second)
simTicks                                  41144887500                       # Number of ticks simulated (Tick)
finalTick                                 41144887500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    541.63                       # Real time elapsed on the host (Second)
hostTickRate                                 75964479                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2239208                       # Number of bytes of host memory used (Byte)
simInsts                                    200000005                       # Number of instructions simulated (Count)
simOps                                      235916942                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   369253                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     435566                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         82289776                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       237602238                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      113                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      242586225                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    297                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1685349                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           4999645                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  17                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            82270741                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.948633                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.298914                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  14829766     18.03%     18.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9891813     12.02%     30.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  15195650     18.47%     48.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  12134002     14.75%     63.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   9872026     12.00%     75.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   7084692      8.61%     83.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   6511118      7.91%     91.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   2090558      2.54%     94.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4661116      5.67%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              82270741                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  479736     96.92%     96.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     96.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     96.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     96.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     96.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     96.92% # attempts to use FU when none available (Count)
