
---------- Begin Simulation Statistics ----------
simSeconds                                   0.049197                       # Number of seconds simulated (Second)
simTicks                                  49197248500                       # Number of ticks simulated (Tick)
finalTick                                 49197248500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    674.87                       # Real time elapsed on the host (Second)
hostTickRate                                 72899079                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2247172                       # Number of bytes of host memory used (Byte)
simInsts                                    200000006                       # Number of instructions simulated (Count)
simOps                                      227162985                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   296354                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     336604                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         98394498                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       257316371                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1165                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      242124911                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2032                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             30154516                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          91245029                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 130                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            98305247                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.462991                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.934313                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  15738497     16.01%     16.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  19879390     20.22%     36.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  20501302     20.85%     57.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  16475245     16.76%     73.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   9936565     10.11%     83.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8244374      8.39%     92.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   3923982      3.99%     96.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1541976      1.57%     97.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2063916      2.10%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              98305247                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  518898     16.61%     16.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     16.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     16.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     16.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     16.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     16.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     16.61% # attempts to use FU when none available (Count)
