
---------- Begin Simulation Statistics ----------
simSeconds                                   0.231155                       # Number of seconds simulated (Second)
simTicks                                 231154642500                       # Number of ticks simulated (Tick)
finalTick                                231154642500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3142.38                       # Real time elapsed on the host (Second)
hostTickRate                                 73560344                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2246776                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000000                       # Number of instructions simulated (Count)
simOps                                     1132163591                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   318230                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     360288                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        462309286                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1235268026                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1935                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1195365736                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5313                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            103106323                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         281405477                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  83                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           462208754                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.586203                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.930270                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  64528336     13.96%     13.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  92499569     20.01%     33.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  90875597     19.66%     53.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  79982855     17.30%     70.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  53665200     11.61%     82.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  43031702      9.31%     91.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  20080077      4.34%     96.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   9496708      2.05%     98.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   8048710      1.74%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             462208754                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2650358     17.89%     17.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     17.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     17.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     17.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     17.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     17.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     17.89% # attempts to use FU when none available (Count)
